1414	6127
4319	6127
5690	6127
13352	6127
8178	6127
6500	6127
14892	6127
23	6127
8657	6127
1703	6127
306	6127
293	6127
126	6127
10849	6127
346	6127
18922	6127
1638	6127
2344	6127
2035	6127
2354	6127
7297	6127
5583	6127
117	6127
1539	6127
16876	6127
38	6127
2474	6127
25073	6127
410	6127
108	6127
7655	6127
8639	6127
375	6127
7904	6127
884	6127
1141	6127
3324	6127
2625	6127
403	6127
27447	6127
369	6127
9628	6127
21	6127
19441	6127
1488	6127
4846	6127
42	6127
317	6127
7345	6127
8939	6127
11991	6127
10061	6127
7399	6127
10993	6127
2732	6127
9220	6127
13394	6127
676	6127
24944	6127
115	6127
71	6127
3085	6127
40	6127
12538	6127
1161	6127
4124	6127
17388	6127
1823	6127
7426	6127
992	6127
146	6127
2439	6127
6892	6127
831	6127
14283	6127
508	6127
4077	6127
5425	6127
12877	6127
477	6127
15548	6127
9368	6127
8833	6127
12187	6127
414	6127
17475	6127
15890	6127
154	6127
964	6127
4375	6127
529	6127
24681	6127
26234	6127
22981	6127
562	6127
15896	6127
9039	6127
31265	6127
8183	6127
22134	6127
14183	6127
2595	6127
1232	6127
15220	6127
6145	6127
9955	6127
2437	6127
60	6127
6448	6127
952	6127
2945	6127
11084	6127
25714	6127
985	6127
479	6127
4043	6127
990	6127
10935	6127
689	6127
30549	6127
9330	6127
15621	6127
1576	6127
340	6127
13149	6127
2283	6127
10120	6127
9710	6127
693	6127
4646	6127
56	6127
13311	6127
8349	6127
8823	6127
12557	6127
24305	6127
4915	6127
15856	6127
8238	6127
896	6127
2181	6127
4588	6127
23109	6127
3184	6127
687	6127
1473	6127
5080	6127
13409	6127
4788	6127
941	6127
155	6127
871	6127
14567	6127
24181	6127
2311	6127
7502	6127
39	6127
6460	6127
2214	6127
7103	6127
6806	6127
10423	6127
1101	6127
99	6127
10874	6127
17368	6127
2321	6127
3348	6127
114	6127
578	6127
409	6127
1914	6127
13907	6127
14973	6127
19215	6127
2714	6127
15698	6127
11482	6127
1532	6127
3388	6127
10560	6127
563	6127
4302	6127
4642	6127
2951	6127
902	6127
8630	6127
2099	6127
1764	6127
1851	6127
113	6127
29492	6127
4720	6127
20402	6127
1094	6127
1307	6127
15057	6127
8181	6127
6199	6127
1863	6127
9234	6127
3343	6127
792	6127
3137	6127
583	6127
6753	6127
14875	6127
2292	6127
17366	6127
9360	6127
